"Rank","Name","Country","Student Population","Students to Staff Ratio","International Students","Female to Male Ratio","Overall Score","Teaching","Research Environment","Research Quality","Industry Impact","International Outlook","Year","international_pct"
220.0,University of Gothenburg,Sweden,21698.0,11.9,"13%","",57.6195,34.0,43.4,90.2,75.4,65.7,2024,13.0
222.0,University of Miami,United States,17060.0,10.4,"14%","54:46:00",57.609,48.5,34.7,83.2,80.4,67.5,2024,14.0
233.0,Tianjin University,China,26486.0,8.9,"13%","",56.711000000000006,46.1,47.6,71.4,93.5,55.3,2024,13.0
258.0,Nankai University,China,31416.0,11.7,"7%","",55.4495,48.8,31.4,85.3,66.5,49.3,2024,7.0
271.0,University of Southern Denmark,Denmark,18279.0,9.9,"13%","52:48:00",54.6635,29.8,33.5,89.1,91.5,76.9,2024,13.0
304.0,Kyushu University,Japan,18220.0,7.7,"13%","28 : 72",52.955999999999996,55.0,47.5,51.2,98.4,48.8,2024,13.0
324.0,Drexel University,United States,16910.0,11.0,"15%","51:49:00",52.1185,44.1,26.0,79.6,75.6,62.2,2024,15.0
383.0,University of Kansas,United States,23410.0,9.5,"7%","53:47:00",49.62849999999999,42.7,25.9,73.1,79.9,58.6,2024,7.0
389.0,Hokkaido University,Japan,17659.0,8.2,"10%","29 : 71",49.4505,51.2,44.0,47.4,95.1,47.5,2024,10.0
524.0,King Khalid University,Saudi Arabia,32078.0,8.3,"16%","61:39:00",44.479000000000006,29.8,20.1,70.3,48.6,91.0,2024,16.0
589.0,UiT The Arctic University of Norway,Norway,15114.0,10.6,"8%","57:43:00",42.3005,27.7,22.1,68.8,54.0,65.6,2024,8.0
