"Rank","Name","Country","Student Population","Students to Staff Ratio","International Students","Female to Male Ratio","Overall Score","Teaching","Research Environment","Research Quality","Industry Impact","International Outlook","Year","international_pct","student_population_num"
208,Tianjin University,China,"27,866",8.7,"15%","",58.056,49.2,47.0,73.2,99.8,52.8,2026,15.0,27866.0
212,University of Gothenburg,Sweden,"20,756",10.9,"13%","",57.9785,34.8,43.2,91.1,78.8,62.7,2026,13.0,20756.0
227,University of Miami,United States,"18,574",10.9,"12%","54:46:00",57.3405,47.3,35.5,83.8,83.3,61.6,2026,12.0,18574.0
277,Southern Medical University,China,"18,620",10.7,"7%","",55.485,45.9,38.9,84.2,76.4,31.3,2026,7.0,18620.0
281,University of Southern Denmark,Denmark,"17,548",9.5,"15%","54:46:00",55.207,30.4,36.0,87.3,98.1,75.8,2026,15.0,17548.0
302,King Khalid University,Saudi Arabia,"29,832",7.1,"15%","55:45:00",54.269,41.2,31.6,80.0,58.4,88.2,2026,15.0,29832.0
319,Kyushu University,Japan,"18,679",7.7,"14%","29 : 71",53.1885,54.2,46.5,53.5,98.8,49.5,2026,14.0,18679.0
342,Johannes Gutenberg University of Mainz,Germany,"29,586",11.4,"11%","59:41:00",52.0765,38.9,27.1,83.0,72.3,66.0,2026,11.0,29586.0
375,University of Kansas,United States,"23,777",9.0,"7%","54:46:00",50.632,45.4,29.8,70.7,79.3,56.2,2026,7.0,23777.0
376,Hokkaido University,Japan,"17,693",8.3,"11%","30 : 70",50.6285,53.5,45.1,47.9,96.8,47.0,2026,11.0,17693.0
395,University of Connecticut,United States,"29,850",11.6,"14%","53:47:00",50.0275,40.6,28.6,73.4,69.1,66.3,2026,14.0,29850.0
504,Princess Nourah bint Abdulrahman University,Saudi Arabia,"20,015",11.0,"12%","100:00:00",46.2145,29.3,21.8,78.5,33.1,85.0,2026,12.0,20015.0
